Location,Population,date,HighestInfectionCount,PercentPopulationInfected
United States,331002647,2021-03-26,30158696,9.111315657
Estonia,1326539,2021-04-27,120836,9.109117787
United States,331002647,2021-03-25,30081375,9.087956025
Lithuania,2722291,2021-04-30,247269,9.083121533
Czechia,10708982,2021-01-29,972642,9.082487953
Sweden,10099270,2021-04-20,916830,9.078180898
Luxembourg,625976,2021-03-09,56822,9.077344818
Serbia,6804596,2021-04-04,617669,9.077232506
Slovenia,2078932,2021-02-26,188676,9.075621521
Montenegro,628062,2021-01-21,56998,9.075218689
Estonia,1326539,2021-04-26,120378,9.074591851
Israel,8655541,2021-03-02,785218,9.07185351
United States,331002647,2021-03-24,30013910,9.067574012
Bahrain,1701583,2021-04-09,154280,9.066851279
Andorra,77265,2020-12-05,7005,9.066200738
Estonia,1326539,2021-04-25,120215,9.062304237
Luxembourg,625976,2021-03-08,56677,9.054180991
Estonia,1326539,2021-04-24,120000,9.046096647
United States,331002647,2021-03-23,29926950,9.041302319
San Marino,33938,2021-02-02,3066,9.034121044
Lithuania,2722291,2021-04-29,245896,9.032686072
Slovenia,2078932,2021-02-25,187762,9.031656639
Serbia,6804596,2021-04-03,614365,9.028677088
United States,331002647,2021-03-22,29873347,9.025108189
Estonia,1326539,2021-04-23,119610,9.016696833
Israel,8655541,2021-03-01,779958,9.011083189
United States,331002647,2021-03-21,29821754,9.009521305
Montenegro,628062,2021-01-20,56579,9.00850553
Czechia,10708982,2021-01-28,964660,9.00795239
Andorra,77265,2020-12-04,6955,9.001488384
United States,331002647,2021-03-20,29787986,8.999319573
Bahrain,1701583,2021-04-08,153074,8.9959761
Slovenia,2078932,2021-02-24,187005,8.995243712
Luxembourg,625976,2021-03-05,56296,8.993316038
Luxembourg,625976,2021-03-06,56296,8.993316038
Luxembourg,625976,2021-03-07,56296,8.993316038
Estonia,1326539,2021-04-22,119218,8.987146251
Lithuania,2722291,2021-04-28,244555,8.983426092
United States,331002647,2021-03-19,29732612,8.982590402
Serbia,6804596,2021-04-02,610232,8.967938728
United States,331002647,2021-03-18,29670983,8.963971518
Luxembourg,625976,2021-03-04,56110,8.963602438
Israel,8655541,2021-02-28,775807,8.963125471
Estonia,1326539,2021-04-21,118789,8.954806455
Montenegro,628062,2021-01-19,56228,8.952619327
United States,331002647,2021-03-17,29610445,8.945682238
Slovenia,2078932,2021-02-23,185916,8.942861046
Andorra,77265,2020-12-03,6904,8.935481783
